,date,year,month,week,dengue_search,dengue_fever_search,rashes_search,vomiting_search,eye_pain_search,joint_pain_search,fever_search,wolbachia_search,headache_search,nausea_search,fogging_search
36,2014-15-09,2014,9,37,28,26,65,40,0,28,53,2,21,8,0
37,2014-22-09,2014,9,38,23,29,44,49,7,0,50,3,21,9,40
38,2014-29-09,2014,9,39,30,29,50,90,0,0,52,0,23,10,0
39,2014-06-10,2014,10,40,23,36,18,40,0,21,55,0,25,10,0
40,2014-13-10,2014,10,41,21,39,34,32,0,16,50,0,25,10,0
41,2014-20-10,2014,10,42,27,26,38,57,36,15,51,2,25,12,0
42,2014-27-10,2014,10,43,26,36,40,49,0,19,43,0,25,13,0
43,2014-03-11,2014,11,44,15,25,34,39,21,25,43,2,23,12,0
44,2014-10-11,2014,11,45,21,20,46,40,0,23,54,0,28,8,37
45,2014-17-11,2014,11,46,26,32,59,50,9,11,57,2,28,10,0
46,2014-24-11,2014,11,47,19,27,35,31,6,0,49,0,23,6,0
47,2014-01-12,2014,11,48,21,45,47,31,23,0,53,0,21,15,0
48,2014-08-12,2014,12,49,18,39,46,36,0,24,61,0,28,11,19
49,2014-15-12,2014,12,50,16,27,12,43,14,14,56,0,25,11,28
50,2014-22-12,2014,12,51,13,16,65,58,18,20,60,0,19,9,0
51,2014-29-12,2014,12,52,19,27,42,49,0,24,61,3,22,5,47
52,2015-05-01,2015,1,1,16,20,42,40,0,13,53,0,17,14,0
53,2015-12-01,2015,1,2,25,50,66,44,10,13,63,0,25,12,0
54,2015-19-01,2015,1,3,17,21,44,40,12,16,58,0,21,10,0
55,2015-26-01,2015,1,4,21,41,67,25,17,13,62,0,19,9,0
56,2015-02-02,2015,2,5,18,27,42,38,0,13,56,0,27,12,0
57,2015-09-02,2015,2,6,15,27,37,46,0,24,64,0,25,13,28
58,2015-16-02,2015,2,7,15,13,46,51,9,21,61,2,21,15,0
59,2015-23-02,2015,2,8,21,21,39,67,21,0,60,0,30,12,45
60,2015-02-03,2015,3,9,16,29,61,38,15,17,65,0,24,9,0
61,2015-09-03,2015,3,10,22,34,44,45,14,25,62,0,25,12,0
62,2015-16-03,2015,3,11,22,24,45,34,0,13,72,0,23,9,0
63,2015-23-03,2015,3,12,17,25,38,49,12,10,58,2,21,11,0
64,2015-30-03,2015,3,13,14,21,20,64,5,12,63,0,19,11,0
65,2015-06-04,2015,4,14,16,25,48,40,0,19,66,0,21,12,0
66,2015-13-04,2015,4,15,15,21,48,59,14,30,61,0,29,11,0
67,2015-20-04,2015,4,16,18,17,40,41,10,8,53,0,26,9,33
68,2015-27-04,2015,4,17,9,40,32,30,12,0,49,0,21,9,0
69,2015-04-05,2015,5,18,16,40,39,39,21,7,60,4,24,8,0
70,2015-11-05,2015,5,19,23,49,43,39,7,15,78,0,32,10,55
71,2015-18-05,2015,5,20,25,40,62,32,6,23,68,0,25,7,28
72,2015-25-05,2015,5,21,20,36,50,32,7,10,76,1,30,11,0
73,2015-01-06,2015,5,22,18,48,47,43,0,14,93,0,21,9,0
74,2015-08-06,2015,6,23,18,30,55,40,17,11,77,0,23,12,52
75,2015-15-06,2015,6,24,25,50,41,51,9,19,80,0,25,10,0
76,2015-22-06,2015,6,25,29,42,40,36,16,25,77,0,25,14,29
77,2015-29-06,2015,6,26,25,34,44,44,12,17,71,0,24,6,23
78,2015-06-07,2015,7,27,23,32,47,39,6,9,66,0,29,11,0
79,2015-13-07,2015,7,28,26,42,66,41,10,19,62,0,29,8,0
80,2015-20-07,2015,7,29,27,48,46,32,0,34,55,1,26,15,0
81,2015-27-07,2015,7,30,23,44,29,37,7,14,64,0,25,7,0
82,2015-03-08,2015,8,31,18,25,35,36,0,23,61,0,16,11,0
83,2015-10-08,2015,8,32,17,40,42,34,0,14,60,0,23,10,24
84,2015-17-08,2015,8,33,22,44,61,32,11,22,66,0,25,8,0
85,2015-24-08,2015,8,34,21,32,38,56,6,17,62,3,23,9,37
86,2015-31-08,2015,8,35,15,28,48,28,0,15,58,0,22,7,18
87,2015-07-09,2015,9,36,19,21,48,40,0,24,53,0,24,10,0
88,2015-14-09,2015,9,37,22,26,41,47,6,17,58,0,21,9,46
89,2015-21-09,2015,9,38,21,45,36,23,27,12,60,1,22,11,16
90,2015-28-09,2015,9,39,25,45,41,28,5,13,66,0,26,12,0
91,2015-05-10,2015,10,40,22,40,32,37,6,14,67,0,23,8,0
92,2015-12-10,2015,10,41,21,27,46,45,13,16,58,0,17,15,0
93,2015-19-10,2015,10,42,22,34,43,24,0,22,57,0,18,8,0
94,2015-26-10,2015,10,43,20,38,37,36,9,23,60,0,22,9,0
95,2015-02-11,2015,11,44,27,29,71,40,0,21,61,0,22,7,0
96,2015-09-11,2015,11,45,22,30,58,48,0,0,59,0,24,11,0
97,2015-16-11,2015,11,46,22,28,34,41,8,17,62,0,20,9,0
98,2015-23-11,2015,11,47,18,21,48,34,10,22,50,0,27,8,0
99,2015-30-11,2015,11,48,22,37,50,42,6,18,62,0,29,7,39
100,2015-07-12,2015,12,49,25,48,60,44,15,12,60,4,22,8,0
101,2015-14-12,2015,12,50,34,42,49,66,13,11,67,0,26,16,0
102,2015-21-12,2015,12,51,22,37,75,54,16,0,65,0,24,8,0
103,2015-28-12,2015,12,52,37,63,75,41,0,36,78,0,28,12,0
104,2016-04-01,2016,1,53,50,53,66,57,9,27,76,0,27,11,0
105,2016-11-01,2016,1,1,48,63,51,39,11,16,76,0,30,11,0
106,2016-18-01,2016,1,2,42,70,22,48,0,27,84,3,25,14,25
107,2016-25-01,2016,1,3,66,85,50,46,14,15,91,0,25,8,0
108,2016-01-02,2016,1,4,58,86,53,41,14,10,97,0,22,7,55
109,2016-08-02,2016,2,5,60,81,59,41,8,28,100,0,31,12,0
110,2016-15-02,2016,2,6,55,91,45,41,0,15,93,0,30,13,0
111,2016-22-02,2016,2,7,48,88,55,40,33,26,81,2,29,8,0
112,2016-29-02,2016,2,8,43,64,32,38,26,17,78,0,24,15,0
113,2016-07-03,2016,3,9,37,65,69,46,6,21,82,0,25,12,0
114,2016-14-03,2016,3,10,36,44,48,38,13,10,67,4,21,11,33
115,2016-21-03,2016,3,11,27,47,57,16,12,0,71,0,23,11,0
116,2016-28-03,2016,3,12,35,55,41,44,7,20,71,0,26,13,46
117,2016-04-04,2016,4,13,34,50,39,46,12,8,64,0,28,13,0
118,2016-11-04,2016,4,14,34,35,56,45,9,23,71,4,31,14,0
119,2016-18-04,2016,4,15,26,23,57,56,0,14,66,2,25,10,36
120,2016-25-04,2016,4,16,24,24,70,45,8,26,61,0,30,9,0
121,2016-02-05,2016,5,17,23,31,59,42,20,18,56,0,23,10,0
122,2016-09-05,2016,5,18,26,16,48,57,5,20,67,0,32,12,0
123,2016-16-05,2016,5,19,21,20,47,37,6,18,59,0,26,14,0
124,2016-23-05,2016,5,20,26,17,50,40,0,22,63,0,25,9,39
125,2016-30-05,2016,5,21,27,20,49,50,16,18,66,0,28,7,0
126,2016-06-06,2016,6,22,27,33,34,49,9,7,71,0,27,11,19
127,2016-13-06,2016,6,23,23,33,46,53,13,31,70,0,23,13,0
128,2016-20-06,2016,6,24,24,22,34,26,0,0,65,1,24,12,0
129,2016-27-06,2016,6,25,30,53,63,29,7,21,65,0,32,10,0
130,2016-04-07,2016,7,26,23,26,30,38,0,9,61,0,29,9,22
131,2016-11-07,2016,7,27,30,29,32,41,8,30,73,0,24,12,0
132,2016-18-07,2016,7,28,30,31,26,20,9,11,76,1,23,8,0
133,2016-25-07,2016,7,29,30,30,49,45,12,27,77,0,24,10,0
134,2016-01-08,2016,7,30,32,30,63,49,12,26,78,0,21,9,0
135,2016-08-08,2016,8,31,22,20,41,41,0,0,64,0,22,14,0
136,2016-15-08,2016,8,32,27,53,39,59,18,24,55,0,21,12,0
137,2016-22-08,2016,8,33,20,28,48,35,12,25,54,0,24,9,0
138,2016-29-08,2016,8,34,59,58,93,26,12,28,78,3,23,9,60
139,2016-05-09,2016,9,35,41,27,66,40,14,15,67,2,26,4,0
140,2016-12-09,2016,9,36,31,43,59,58,0,35,64,0,30,6,20
141,2016-19-09,2016,9,37,27,17,53,46,5,22,71,2,34,8,0
142,2016-26-09,2016,9,38,18,8,43,48,10,11,57,1,29,15,0
143,2016-03-10,2016,10,39,21,22,49,55,0,22,53,0,25,13,0
144,2016-10-10,2016,10,40,27,23,46,46,15,17,66,2,29,5,0
145,2016-17-10,2016,10,41,18,19,52,72,0,16,57,6,29,10,23
146,2016-24-10,2016,10,42,20,35,38,50,0,18,53,2,16,13,0
147,2016-31-10,2016,10,43,16,22,35,47,23,15,55,3,26,11,0
148,2016-07-11,2016,11,44,10,17,32,45,20,15,59,2,36,11,0
149,2016-14-11,2016,11,45,13,13,47,38,10,25,61,0,24,11,17
150,2016-21-11,2016,11,46,19,22,53,35,11,15,55,0,24,7,72
151,2016-28-11,2016,11,47,14,17,58,52,17,9,59,1,20,12,0
152,2016-05-12,2016,12,48,8,9,42,36,7,9,56,0,27,6,0
153,2016-12-12,2016,12,49,10,0,58,60,15,12,45,0,27,10,0
154,2016-19-12,2016,12,50,7,24,48,35,15,7,49,0,23,10,0
155,2016-26-12,2016,12,51,11,31,40,62,9,15,57,1,26,9,0
156,2017-02-01,2017,1,52,13,20,39,43,6,22,76,0,24,12,0
157,2017-09-01,2017,1,1,15,16,45,53,0,22,57,0,23,13,0
158,2017-16-01,2017,1,2,15,24,38,30,27,19,63,2,22,10,0
159,2017-23-01,2017,1,3,12,44,47,63,0,0,52,0,27,10,0
160,2017-30-01,2017,1,4,13,0,57,51,10,14,67,1,19,17,100
161,2017-06-02,2017,2,5,15,30,44,33,14,15,68,0,27,11,0
162,2017-13-02,2017,2,6,12,13,50,58,11,11,69,0,19,10,0
