,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Year
22,23 Sep,6.8,5.4,6.6,6.8,28.6,31.3,24.3,8.3,38.9,2017
23,24 Sep,0.0,0.0,0.0,0.0,29.0,32.8,27.2,7.8,35.2,2017
24,25 Sep,0.6,0.4,0.6,0.6,28.8,32.9,26.8,6.9,44.4,2017
25,26 Sep,24.6,13.0,15.0,15.0,28.9,33.3,23.5,9.3,42.6,2017
26,27 Sep,4.8,2.6,15.0,15.2,27.1,33.0,24.6,5.6,29.6,2017
27,28 Sep,2.0,2.0,2.0,2.0,27.4,32.4,24.6,4.6,22.2,2017
28,29 Sep,0.0,0.0,0.0,0.0,28.4,32.6,25.5,5.2,35.2,2017
29,30 Sep,47.0,15.6,26.8,38.0,26.5,28.3,24.5,5.9,27.8,2017
0,1 Aug,20.4,11.0,18.0,20.4,27.7,30.9,23.1,4.6,42.6,2017
1,2 Aug,0.2,0.2,0.2,0.2,28.5,32.9,26.4,6.6,29.6,2017
2,3 Aug,7.2,6.2,6.8,7.2,28.4,32.2,23.2,10.2,50.0,2017
3,4 Aug,1.4,1.0,1.2,1.2,27.2,28.7,23.8,6.6,37.0,2017
4,5 Aug,0.0,0.0,0.0,0.0,28.9,32.0,27.0,9.1,33.3,2017
5,6 Aug,0.0,0.0,0.0,0.0,28.7,32.3,26.2,10.4,33.3,2017
6,7 Aug,1.8,1.6,1.6,1.8,28.7,32.4,26.2,10.0,29.6,2017
7,8 Aug,0.4,0.2,0.2,0.2,27.5,32.4,25.5,6.8,35.2,2017
8,9 Aug,0.0,0.0,0.0,0.0,28.7,32.6,24.7,7.2,29.6,2017
9,10 Aug,0.0,0.0,0.0,0.0,29.4,32.5,27.3,8.6,40.7,2017
10,11 Aug,1.6,1.0,1.0,1.0,28.7,31.5,25.4,7.4,37.0,2017
11,12 Aug,7.0,6.4,6.4,6.4,28.5,32.2,24.9,9.9,35.2,2017
12,13 Aug,0.2,0.2,0.2,0.2,28.0,31.3,26.4,8.1,46.3,2017
13,14 Aug,16.6,13.0,13.0,13.0,27.4,31.3,23.6,6.8,44.4,2017
14,15 Aug,3.0,1.6,2.2,2.8,27.9,31.3,24.6,8.6,57.4,2017
15,16 Aug,0.4,0.4,1.2,2.8,27.8,32.3,24.5,7.5,27.8,2017
16,17 Aug,5.0,1.6,2.8,4.2,26.9,30.5,25.3,5.2,25.9,2017
17,18 Aug,3.2,1.2,2.0,2.8,26.4,28.1,25.0,4.6,24.1,2017
18,19 Aug,29.4,10.2,11.2,15.0,27.3,31.7,23.1,8.3,31.5,2017
19,20 Aug,71.4,24.0,31.4,52.0,25.5,27.7,21.9,5.4,31.5,2017
20,21 Aug,0.6,0.4,0.4,0.4,27.5,29.6,25.2,7.9,24.1,2017
21,22 Aug,15.2,2.0,4.0,6.8,26.6,31.0,25.4,8.0,55.6,2017
22,23 Aug,0.0,0.0,0.0,0.0,27.5,30.5,24.7,7.3,29.6,2017
23,24 Aug,13.2,2.6,3.0,5.0,25.8,27.6,23.7,6.6,24.1,2017
24,25 Aug,0.2,0.2,0.2,0.2,26.3,28.3,24.3,8.9,35.2,2017
25,26 Aug,18.0,16.4,17.4,18.0,27.3,31.4,23.9,7.8,51.9,2017
26,27 Aug,0.0,0.0,0.0,0.0,27.6,31.5,25.1,10.9,37.0,2017
27,28 Aug,0.0,0.0,0.0,0.0,28.8,31.8,26.9,11.3,33.3,2017
28,29 Aug,18.6,9.6,9.8,9.8,26.7,31.0,23.8,7.9,33.3,2017
29,30 Aug,39.8,10.6,15.0,23.8,25.9,28.3,23.4,6.5,29.6,2017
30,31 Aug,18.8,8.8,10.0,14.8,27.1,31.8,23.9,5.6,33.3,2017
0,1 Jul,2.2,2.0,2.0,2.2,29.2,32.4,27.5,10.6,38.9,2017
1,2 Jul,0.0,0.0,0.0,0.0,28.9,33.0,26.8,6.6,35.2,2017
2,3 Jul,25.4,23.4,24.8,25.2,28.0,32.7,23.5,5.9,51.9,2017
3,4 Jul,3.0,0.6,1.0,1.4,26.3,28.6,24.0,4.4,31.5,2017
4,5 Jul,1.6,1.6,1.6,1.6,28.1,30.5,26.1,6.7,42.6,2017
5,6 Jul,0.0,0.0,0.0,0.0,28.2,30.5,26.4,4.8,24.1,2017
6,7 Jul,0.0,0.0,0.0,0.0,28.5,31.6,26.3,7.3,35.2,2017
7,8 Jul,0.0,0.0,0.0,0.0,29.3,32.5,26.7,9.3,33.3,2017
8,9 Jul,0.0,0.0,0.0,0.0,29.3,32.5,27.2,11.0,35.2,2017
9,10 Jul,11.2,3.0,4.6,8.2,26.4,28.2,24.4,5.3,33.3,2017
10,11 Jul,21.8,17.0,19.4,19.4,26.6,30.3,23.4,5.5,51.9,2017
11,12 Jul,43.2,16.0,23.6,39.2,26.5,32.6,23.7,5.9,37.0,2017
12,13 Jul,75.0,30.8,48.8,54.4,25.1,27.1,23.2,7.5,35.2,2017
13,14 Jul,0.4,0.2,0.2,0.2,27.0,28.9,24.7,7.8,33.3,2017
14,15 Jul,0.0,0.0,0.0,0.0,28.5,32.2,25.2,9.1,27.8,2017
15,16 Jul,0.0,0.0,0.0,0.0,29.6,32.8,27.8,13.7,37.0,2017
16,17 Jul,0.0,0.0,0.0,0.0,29.3,32.3,27.3,11.7,31.5,2017
17,18 Jul,0.0,0.0,0.0,0.0,29.5,32.5,27.1,9.2,33.3,2017
18,19 Jul,0.2,0.2,0.2,0.2,28.6,31.7,27.2,7.2,29.6,2017
19,20 Jul,0.0,0.0,0.0,0.0,29.5,32.6,26.6,7.8,27.8,2017
20,21 Jul,0.0,0.0,0.0,0.0,29.6,32.7,27.3,11.3,33.3,2017
21,22 Jul,0.0,0.0,0.0,0.0,29.8,32.9,27.3,11.3,35.2,2017
22,23 Jul,2.2,0.6,1.0,1.4,29.0,33.0,25.9,7.6,46.3,2017
23,24 Jul,0.0,0.0,0.0,0.8,29.3,33.2,26.8,10.3,29.6,2017
24,25 Jul,0.0,0.0,0.0,0.0,29.9,32.9,27.5,12.5,33.3,2017
25,26 Jul,0.0,0.0,0.0,0.0,29.6,32.4,27.6,11.7,31.5,2017
26,27 Jul,0.0,0.0,0.0,0.0,29.5,32.1,27.3,9.0,37.0,2017
27,28 Jul,0.0,0.0,0.0,0.0,29.6,33.1,27.4,11.8,33.3,2017
28,29 Jul,0.0,0.0,0.0,0.0,29.8,32.8,27.7,12.0,37.0,2017
29,30 Jul,0.0,0.0,0.0,0.0,30.1,33.4,28.1,11.3,31.5,2017
30,31 Jul,9.6,9.6,9.6,9.6,28.6,31.0,23.8,9.3,44.4,2017
0,1 Jun,0.0,0.0,0.0,0.0,29.2,32.3,27.7,7.1,46.3,2017
1,2 Jun,0.4,0.4,0.4,0.4,29.3,32.5,27.4,11.0,35.2,2017
2,3 Jun,1.2,1.2,1.2,1.2,29.6,32.5,27.3,11.1,40.7,2017
3,4 Jun,0.0,0.0,0.0,0.0,30.0,33.7,27.5,9.3,35.2,2017
4,5 Jun,0.6,0.4,0.4,0.4,29.6,32.4,27.0,6.9,35.2,2017
5,6 Jun,0.0,0.0,0.0,0.0,29.7,33.0,26.6,7.0,25.9,2017
6,7 Jun,0.8,0.4,0.4,0.8,29.6,32.1,27.3,10.0,33.3,2017
7,8 Jun,0.0,0.0,0.0,0.0,29.3,32.0,26.3,8.3,33.3,2017
8,9 Jun,2.4,1.8,2.4,2.4,28.8,31.3,25.8,5.3,31.5,2017
9,10 Jun,1.0,0.6,0.8,1.0,28.0,32.5,25.8,6.5,31.5,2017
10,11 Jun,0.2,0.2,0.2,0.2,28.5,31.4,25.5,7.0,31.5,2017
11,12 Jun,3.6,3.4,3.4,3.4,28.7,32.9,25.0,9.1,46.3,2017
12,13 Jun,15.2,14.0,15.2,15.2,28.4,31.7,23.6,8.9,44.4,2017
13,14 Jun,0.0,0.0,0.0,0.0,29.0,33.0,26.2,7.0,37.0,2017
14,15 Jun,1.8,1.8,1.8,1.8,27.6,31.8,25.4,6.1,38.9,2017
15,16 Jun,0.0,0.0,0.0,0.0,28.1,31.7,25.2,5.3,18.5,2017
16,17 Jun,0.0,0.0,0.0,0.0,29.0,32.9,25.8,7.9,42.6,2017
17,18 Jun,23.8,14.8,16.0,17.6,26.6,29.5,23.4,4.5,35.2,2017
18,19 Jun,0.0,0.0,0.0,0.0,28.2,32.6,25.9,5.0,22.2,2017
19,20 Jun,1.6,0.8,1.2,1.6,27.4,31.8,23.5,6.5,38.9,2017
20,21 Jun,0.2,0.2,0.2,0.2,28.6,32.8,24.7,6.2,25.9,2017
21,22 Jun,0.2,0.2,0.2,0.2,28.4,31.5,24.9,6.9,33.3,2017
22,23 Jun,0.0,0.0,0.0,0.0,29.0,33.6,25.3,6.3,29.6,2017
23,24 Jun,6.8,4.2,4.8,5.6,28.2,32.9,24.3,5.9,31.5,2017
24,25 Jun,6.2,5.2,6.2,6.2,27.4,31.6,25.8,4.9,29.6,2017
25,26 Jun,11.4,5.4,8.8,11.4,27.8,31.9,24.0,5.2,31.5,2017
26,27 Jun,0.4,0.4,0.4,0.4,27.5,29.6,26.3,4.6,24.1,2017
27,28 Jun,0.2,0.2,0.2,0.2,28.8,32.0,26.1,7.9,29.6,2017
28,29 Jun,15.4,8.0,10.2,11.6,27.6,32.3,23.9,5.8,25.9,2017
29,30 Jun,0.0,0.0,0.2,1.6,28.1,32.3,24.4,6.6,25.9,2017
0,1 May,0.2,0.2,0.2,0.2,28.4,31.9,25.8,8.8,29.6,2017
1,2 May,0.0,0.2,0.2,0.2,29.4,33.4,26.1,9.3,31.5,2017
2,3 May,0.0,0.0,0.0,0.0,29.5,33.5,27.1,8.2,35.2,2017
3,4 May,0.0,0.0,0.0,0.0,29.4,33.2,26.4,7.4,24.1,2017
4,5 May,0.0,0.0,0.0,0.0,28.1,32.3,26.1,6.2,31.5,2017
5,6 May,23.2,21.0,21.4,22.6,27.5,31.1,24.3,3.5,33.3,2017
6,7 May,0.2,0.2,0.2,0.2,28.5,32.8,26.2,6.5,25.9,2017
7,8 May,0.0,0.2,0.2,0.2,28.2,30.9,26.4,4.9,22.2,2017
8,9 May,6.8,6.4,6.4,6.6,27.8,33.1,26.2,5.5,31.5,2017
9,10 May,0.0,0.0,0.0,0.0,29.3,33.6,26.3,8.3,33.3,2017
10,11 May,0.0,0.0,0.0,0.0,29.7,33.6,25.9,10.0,38.9,2017
11,12 May,34.8,19.8,30.8,34.8,28.0,31.6,24.9,6.8,29.6,2017
12,13 May,0.0,0.0,0.0,0.0,29.0,32.6,26.1,6.8,25.9,2017
13,14 May,39.8,32.8,38.4,39.6,28.4,30.6,25.0,3.5,22.2,2017
14,15 May,20.6,12.2,13.6,18.4,28.0,31.1,24.7,6.6,35.2,2017
15,16 May,0.0,0.0,0.0,0.0,29.3,33.4,26.5,6.8,35.2,2017
16,17 May,5.6,5.0,5.6,5.6,28.6,30.9,22.9,6.0,35.2,2017
17,18 May,25.8,12.4,13.4,13.6,26.4,28.7,23.0,6.4,25.9,2017
18,19 May,3.0,2.8,3.0,3.0,27.7,30.0,25.8,4.3,14.8,2017
19,20 May,0.0,0.0,0.0,0.0,28.8,31.8,25.7,5.5,24.1,2017
20,21 May,49.8,27.8,42.2,49.4,27.8,32.6,24.3,6.8,35.2,2017
21,22 May,0.0,0.0,0.0,0.0,27.8,30.3,26.0,6.3,27.8,2017
22,23 May,0.0,0.0,0.0,0.0,29.5,32.3,27.1,7.3,25.9,2017
23,24 May,0.0,0.0,0.0,0.0,29.8,33.3,27.5,9.3,29.6,2017
24,25 May,0.0,0.0,0.0,0.0,30.0,32.8,28.1,13.8,40.7,2017
25,26 May,0.0,0.0,0.0,0.0,29.6,32.4,27.9,10.3,29.6,2017
26,27 May,1.0,1.0,1.0,1.0,29.4,33.2,27.4,7.3,27.8,2017
27,28 May,0.0,0.0,0.0,0.0,29.2,33.4,26.5,7.6,31.5,2017
28,29 May,35.0,27.8,34.4,35.0,28.3,30.6,24.7,7.5,35.2,2017
29,30 May,0.0,0.0,0.0,0.0,29.1,33.5,26.9,5.6,33.3,2017
30,31 May,0.0,0.0,0.0,0.0,29.3,31.9,27.4,7.3,33.3,2017
0,1 Apr,0.0,0.0,0.0,0.0,30.4,34.3,26.9,8.7,35.2,2017
1,2 Apr,11.4,6.6,9.6,11.2,28.6,34.7,24.8,5.7,25.9,2017
2,3 Apr,2.0,1.2,1.2,2.0,27.8,33.3,26.0,5.2,37.0,2017
3,4 Apr,42.0,18.4,24.6,26.6,27.0,29.2,23.8,5.6,29.6,2017
4,5 Apr,33.8,24.4,31.4,32.6,27.0,32.7,24.5,5.3,42.6,2017
5,6 Apr,0.0,0.0,0.0,0.0,28.4,32.9,25.1,8.2,31.5,2017
6,7 Apr,0.0,0.0,0.0,0.0,29.2,33.3,26.1,9.9,35.2,2017
7,8 Apr,33.0,19.6,30.2,30.8,27.8,33.1,24.6,6.1,31.5,2017
8,9 Apr,0.2,0.2,0.2,0.2,28.5,32.2,24.9,8.5,31.5,2017
9,10 Apr,0.0,0.0,0.0,0.0,29.2,33.2,26.1,9.7,31.5,2017
10,11 Apr,0.0,0.0,0.0,0.0,29.2,33.3,26.6,9.5,29.6,2017
11,12 Apr,12.4,12.2,12.2,12.2,28.5,32.7,23.2,9.9,31.5,2017
12,13 Apr,0.0,0.0,0.0,0.0,28.8,32.1,26.7,7.3,24.1,2017
13,14 Apr,0.0,0.0,0.0,0.0,28.5,32.5,24.6,6.3,25.9,2017
14,15 Apr,18.4,12.6,15.6,16.4,26.8,32.5,23.5,5.4,27.8,2017
15,16 Apr,0.2,0.2,0.2,0.2,27.7,30.4,25.5,3.4,18.5,2017
16,17 Apr,83.8,21.8,42.6,69.2,25.8,31.2,23.1,5.0,31.5,2017
17,18 Apr,0.0,0.0,0.0,0.0,28.0,32.6,24.5,6.0,22.2,2017
18,19 Apr,0.0,0.0,0.0,0.0,28.4,32.6,26.0,5.5,24.1,2017
19,20 Apr,0.0,0.0,0.0,0.0,29.0,32.8,25.6,7.2,31.5,2017
20,21 Apr,0.0,0.0,0.0,0.0,29.1,32.8,27.1,7.4,31.5,2017
21,22 Apr,10.8,8.0,9.6,10.6,27.2,31.1,25.2,5.6,22.2,2017
22,23 Apr,0.0,0.2,0.2,0.2,29.1,33.1,26.0,5.6,29.6,2017
23,24 Apr,32.0,15.0,15.4,16.4,26.4,28.1,23.5,4.3,35.2,2017
24,25 Apr,0.0,0.0,0.0,0.0,28.8,32.6,25.2,7.7,25.9,2017
25,26 Apr,8.8,8.0,8.8,8.8,28.3,32.9,25.1,6.6,38.9,2017
26,27 Apr,1.6,1.6,1.6,1.6,27.7,31.7,25.7,5.3,24.1,2017
27,28 Apr,0.0,0.0,0.0,0.0,28.4,32.7,25.2,7.3,27.8,2017
28,29 Apr,0.0,0.0,0.0,0.0,29.0,33.4,26.5,8.9,37.0,2017
29,30 Apr,0.0,0.0,0.0,0.0,28.7,32.7,26.3,8.0,33.3,2017
0,1 Mar,0.0,0.0,0.0,0.0,28.3,34.2,25.4,10.3,27.8,2017
1,2 Mar,0.0,0.0,0.0,0.0,28.3,33.8,25.3,13.5,35.2,2017
2,3 Mar,0.0,0.0,0.0,0.0,28.5,33.0,25.6,11.7,37.0,2017
3,4 Mar,0.0,0.0,0.0,0.0,28.5,33.3,25.4,13.0,38.9,2017
4,5 Mar,0.0,0.0,0.0,0.0,28.8,34.0,26.2,14.0,35.2,2017
5,6 Mar,0.0,0.0,0.0,0.0,28.8,33.7,26.1,16.0,40.7,2017
6,7 Mar,36.4,28.2,33.4,35.2,26.5,33.6,23.0,8.7,35.2,2017
7,8 Mar,0.0,0.2,0.2,0.2,27.7,33.3,23.7,11.8,35.2,2017
8,9 Mar,0.0,0.0,0.0,0.0,28.0,32.8,24.9,13.3,38.9,2017
9,10 Mar,0.0,0.0,0.0,0.0,28.1,33.1,24.7,12.7,40.7,2017
10,11 Mar,0.0,0.0,0.0,0.0,28.3,33.0,25.0,12.2,37.0,2017
11,12 Mar,3.8,2.2,2.4,2.4,27.4,30.9,24.6,6.3,29.6,2017
12,13 Mar,0.0,0.0,0.0,0.0,28.0,33.2,24.8,10.3,29.6,2017
13,14 Mar,12.0,5.6,7.0,12.0,27.5,32.0,24.8,9.6,29.6,2017
14,15 Mar,19.4,18.6,19.4,19.4,27.7,32.9,24.0,12.3,31.5,2017
15,16 Mar,1.4,1.4,1.4,1.4,28.0,31.9,25.5,10.5,25.9,2017
16,17 Mar,0.6,0.4,0.6,0.6,27.5,32.7,24.7,7.3,33.3,2017
17,18 Mar,0.0,0.0,0.0,0.0,28.1,33.1,26.0,8.0,29.6,2017
18,19 Mar,0.0,0.0,0.0,0.0,28.7,33.2,26.0,9.7,29.6,2017
19,20 Mar,0.6,0.4,0.6,0.6,28.0,32.6,26.2,9.0,35.2,2017
20,21 Mar,0.0,0.0,0.0,0.0,28.9,33.5,25.6,9.0,29.6,2017
21,22 Mar,0.0,0.0,0.0,0.0,28.6,33.5,25.7,12.9,48.2,2017
22,23 Mar,1.2,0.8,0.8,0.8,28.0,33.2,25.3,10.2,35.2,2017
23,24 Mar,38.0,10.2,17.0,22.2,25.7,30.6,24.3,5.2,33.3,2017
24,25 Mar,1.6,1.2,1.4,1.4,26.2,29.2,24.5,7.3,27.8,2017
25,26 Mar,0.0,0.0,0.0,0.0,28.3,32.3,25.8,10.0,31.5,2017
26,27 Mar,13.2,5.2,9.2,13.2,27.1,31.3,24.1,6.2,38.9,2017
27,28 Mar,0.0,0.0,0.0,0.0,28.4,33.0,25.0,6.3,24.1,2017
28,29 Mar,8.8,5.0,8.4,8.8,27.5,32.5,24.8,6.8,24.1,2017
29,30 Mar,11.8,11.6,11.8,11.8,27.7,32.9,25.1,5.0,29.6,2017
30,31 Mar,33.6,16.8,26.8,33.0,28.5,34.0,23.3,7.3,35.2,2017
0,1 Feb,0.0,0.0,0.0,0.0,26.9,30.1,24.6,11.9,35.2,2017
1,2 Feb,0.0,0.0,0.0,0.0,26.9,30.3,25.4,12.0,35.2,2017
2,3 Feb,0.0,0.0,0.0,0.0,27.0,30.3,25.1,12.7,38.9,2017
3,4 Feb,0.0,0.0,0.0,0.0,26.7,30.8,24.5,13.4,40.7,2017
4,5 Feb,0.0,0.0,0.0,0.0,26.8,31.6,23.7,12.3,37.0,2017
5,6 Feb,0.0,0.0,0.0,0.0,27.6,31.5,25.6,15.7,38.9,2017
6,7 Feb,0.0,0.0,0.0,0.0,27.6,32.7,24.6,12.6,35.2,2017
7,8 Feb,0.0,0.0,0.0,0.0,27.6,32.1,24.7,13.3,37.0,2017
8,9 Feb,0.0,0.0,0.0,0.0,27.7,32.1,25.0,13.0,33.3,2017
9,10 Feb,0.0,0.0,0.0,0.0,27.4,31.4,25.2,11.6,33.3,2017
10,11 Feb,0.6,0.6,0.6,0.6,27.6,31.9,25.1,13.0,31.5,2017
11,12 Feb,0.4,0.4,0.4,0.4,27.5,31.7,25.6,12.8,37.0,2017
12,13 Feb,0.0,0.0,0.0,0.0,27.7,32.2,25.5,14.7,35.2,2017
13,14 Feb,0.0,0.0,0.0,0.0,27.1,31.1,25.2,15.7,37.0,2017
14,15 Feb,0.0,0.0,0.0,0.0,27.0,30.7,24.7,15.8,38.9,2017
15,16 Feb,0.0,0.0,0.0,0.0,26.6,30.6,24.4,14.2,35.2,2017
16,17 Feb,0.0,0.0,0.0,0.0,27.0,31.2,24.4,14.1,37.0,2017
17,18 Feb,0.0,0.0,0.0,0.0,26.9,31.1,24.1,16.8,42.6,2017
18,19 Feb,0.0,0.0,0.0,0.0,27.1,31.1,25.1,16.4,42.6,2017
19,20 Feb,0.0,0.0,0.0,0.0,27.2,31.5,25.3,16.8,38.9,2017
20,21 Feb,0.0,0.0,0.0,0.0,27.2,31.9,24.9,15.7,37.0,2017
21,22 Feb,0.0,0.0,0.0,0.0,27.2,31.6,24.8,14.5,37.0,2017
22,23 Feb,0.0,0.0,0.0,0.0,27.1,32.9,24.1,13.2,31.5,2017
23,24 Feb,0.0,0.0,0.0,0.0,26.7,31.2,24.0,10.6,29.6,2017
24,25 Feb,0.0,0.0,0.0,0.0,27.4,32.3,24.1,9.3,25.9,2017
25,26 Feb,0.0,0.0,0.0,0.0,27.6,33.7,24.2,9.3,35.2,2017
26,27 Feb,0.0,0.0,0.0,0.0,28.2,33.0,25.2,7.7,27.8,2017
27,28 Feb,0.0,0.0,0.0,0.0,28.3,33.5,25.4,11.4,29.6,2017
0,1 Jan,134.4,21.2,29.6,45.4,24.5,26.0,21.9,9.6,44.4,2017
1,2 Jan,210.6,23.6,40.2,61.6,23.1,24.1,21.7,7.9,37.0,2017
2,3 Jan,5.6,1.0,2.0,2.6,24.0,25.0,21.7,4.5,14.8,2017
3,4 Jan,0.0,0.0,0.0,0.0,25.2,28.0,22.9,5.1,18.5,2017
4,5 Jan,4.2,4.2,4.2,4.2,26.3,31.6,23.8,8.8,29.6,2017
5,6 Jan,0.8,0.6,0.6,0.6,26.6,29.9,24.8,7.3,29.6,2017
6,7 Jan,7.2,2.6,3.6,4.4,24.3,25.3,23.7,5.8,18.5,2017
7,8 Jan,40.6,19.6,21.6,22.6,25.3,28.5,23.4,8.6,37.0,2017
8,9 Jan,23.8,9.8,11.8,13.2,25.6,28.7,23.9,7.9,37.0,2017
9,10 Jan,204.0,22.0,36.8,54.6,23.9,24.6,23.3,8.5,33.3,2017
10,11 Jan,2.4,0.4,0.8,1.2,25.8,28.6,24.3,11.5,37.0,2017
11,12 Jan,13.0,9.0,9.0,9.0,25.7,28.9,23.9,14.1,-,2017
12,13 Jan,2.0,1.0,1.0,1.2,25.4,27.7,23.6,10.2,42.6,2017
13,14 Jan,0.0,0.2,0.2,0.2,25.7,29.0,23.3,8.6,31.5,2017
14,15 Jan,0.0,0.0,0.0,0.0,26.8,30.5,24.4,11.5,29.6,2017
15,16 Jan,0.0,0.0,0.0,0.0,27.0,30.0,24.9,12.6,31.5,2017
16,17 Jan,0.0,0.0,0.0,0.0,27.1,30.5,25.2,15.4,38.9,2017
17,18 Jan,0.0,0.0,0.0,0.0,26.5,28.9,25.2,15.9,48.2,2017
18,19 Jan,0.0,0.0,0.0,0.0,26.4,29.7,24.0,12.0,35.2,2017
19,20 Jan,0.0,0.0,0.0,0.0,26.4,29.6,24.0,9.4,31.5,2017
20,21 Jan,0.8,0.4,0.6,0.8,26.5,30.7,24.1,10.0,31.5,2017
21,22 Jan,3.2,3.0,3.2,3.2,26.3,30.8,24.1,9.3,27.8,2017
22,23 Jan,28.4,16.4,27.2,28.4,26.1,30.6,23.0,10.1,38.9,2017
23,24 Jan,0.0,0.0,0.0,0.0,26.7,31.2,23.5,11.4,31.5,2017
24,25 Jan,0.0,0.0,0.0,0.0,27.4,31.6,25.1,11.5,31.5,2017
25,26 Jan,0.0,0.0,0.0,0.0,27.3,31.5,24.6,11.2,31.5,2017
26,27 Jan,0.0,0.0,0.0,0.0,26.8,30.2,24.4,9.6,31.5,2017
27,28 Jan,10.8,10.6,10.8,10.8,26.4,30.4,23.1,10.7,33.3,2017
28,29 Jan,0.0,0.0,0.0,0.0,26.9,30.6,24.5,12.3,35.2,2017
29,30 Jan,0.0,0.0,0.0,0.0,27.0,30.5,24.7,12.9,40.7,2017
30,31 Jan,1.0,0.4,0.6,0.6,26.4,30.3,24.1,11.3,35.2,2017
0,1 Dec,0.2,0.2,0.2,0.2,28.6,33.5,25.3,5.0,20.4,2016
1,2 Dec,4.6,4.4,4.6,4.6,27.6,31.6,24.3,4.8,-,2016
2,3 Dec,17.6,12.6,12.8,15.4,26.7,32.9,24.4,11.3,37.0,2016
3,4 Dec,0.4,0.4,0.4,0.4,26.6,31.0,24.4,14.4,29.6,2016
4,5 Dec,0.0,0.0,0.0,0.0,26.8,31.2,25.4,18.8,-,2016
5,6 Dec,0.0,0.0,0.0,0.0,28.0,32.0,25.5,21.4,33.3,2016
6,7 Dec,9.8,9.4,9.4,9.8,27.8,32.5,24.2,18.1,31.5,2016
7,8 Dec,0.0,0.0,0.0,0.0,28.0,32.6,25.6,16.9,-,2016
8,9 Dec,58.2,46.2,52.8,54.6,27.2,32.0,23.8,15.1,42.6,2016
9,10 Dec,42.2,35.4,39.0,40.4,26.3,32.8,23.5,8.0,33.3,2016
10,11 Dec,0.0,0.2,0.2,0.2,27.8,32.7,23.6,5.9,31.5,2016
11,12 Dec,30.0,13.4,17.2,25.6,26.2,31.4,23.0,7.1,35.2,2016
12,13 Dec,1.8,0.6,0.8,0.8,27.0,31.7,23.7,6.6,29.6,2016
13,14 Dec,20.6,8.4,13.4,15.4,26.4,31.9,23.4,5.6,27.8,2016
14,15 Dec,0.0,0.0,0.0,0.0,27.2,31.9,24.5,6.9,31.5,2016
15,16 Dec,12.2,6.2,7.4,7.4,25.9,29.5,24.2,4.8,31.5,2016
16,17 Dec,0.0,0.0,0.0,0.0,26.7,31.1,24.7,6.4,25.9,2016
17,18 Dec,19.4,11.6,13.8,14.0,25.5,27.0,23.0,5.3,31.5,2016
18,19 Dec,0.6,0.6,0.6,0.6,26.6,30.2,24.5,6.9,24.1,2016
19,20 Dec,1.6,1.4,1.6,1.6,26.9,31.4,24.8,8.4,31.5,2016
20,21 Dec,0.0,0.0,0.0,0.0,27.3,31.1,25.2,6.3,31.5,2016
21,22 Dec,0.0,0.0,0.0,0.0,28.0,32.4,25.1,8.1,27.8,2016
22,23 Dec,5.6,2.8,3.6,3.6,27.6,32.7,25.4,6.8,29.6,2016
23,24 Dec,7.6,4.6,7.4,7.6,26.8,29.5,24.3,4.6,20.4,2016
24,25 Dec,14.2,13.8,14.0,14.2,28.0,32.5,25.1,9.0,29.6,2016
25,26 Dec,1.2,1.0,1.2,1.2,27.5,31.5,23.9,10.4,31.5,2016
26,27 Dec,2.2,2.0,2.2,2.2,27.2,31.8,24.1,9.4,27.8,2016
27,28 Dec,0.0,0.0,0.0,0.0,28.1,31.7,26.0,12.5,35.2,2016
28,29 Dec,3.2,2.6,2.6,2.6,26.6,30.3,24.9,6.0,25.9,2016
29,30 Dec,0.0,0.0,0.0,0.0,27.8,31.8,25.1,10.1,33.3,2016
30,31 Dec,0.0,0.0,0.0,0.0,27.7,31.7,25.3,9.6,35.2,2016
0,1 Nov,0.0,0.0,0.0,0.0,27.9,33.4,25.1,7.0,25.9,2016
1,2 Nov,48.2,25.2,33.6,41.0,26.7,32.7,24.0,6.4,35.2,2016
2,3 Nov,0.0,0.0,0.0,0.2,27.6,30.4,25.3,5.4,20.4,2016
3,4 Nov,64.2,37.8,46.4,55.6,25.4,27.0,23.3,4.9,40.7,2016
4,5 Nov,0.0,0.0,0.0,0.0,28.0,32.6,24.7,7.6,24.1,2016
5,6 Nov,0.0,0.0,0.0,0.0,28.7,31.9,26.3,7.1,24.1,2016
6,7 Nov,5.2,2.0,2.8,3.8,26.0,29.1,24.3,5.9,38.9,2016
7,8 Nov,0.2,0.2,0.2,0.2,26.7,30.0,24.4,5.0,27.8,2016
8,9 Nov,3.8,3.8,3.8,3.8,26.7,29.9,25.4,6.2,27.8,2016
9,10 Nov,10.8,5.8,6.8,7.0,26.6,29.6,24.4,3.5,18.5,2016
10,11 Nov,0.0,0.0,0.0,0.0,28.3,31.8,24.9,8.9,31.5,2016
11,12 Nov,0.0,0.0,0.0,0.0,29.3,33.3,27.3,13.2,31.5,2016
12,13 Nov,0.0,0.0,0.0,0.0,29.1,33.1,26.4,9.6,29.6,2016
13,14 Nov,4.6,2.8,3.6,4.0,28.0,31.8,25.8,7.3,27.8,2016
