,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Year
25,26 Apr,0.0,0.0,0.0,0.0,28.7,31.1,26.2,5.6,22.2,2018
26,27 Apr,20.4,11.0,15.2,19.0,27.7,32.8,25.0,5.6,25.9,2018
27,28 Apr,22.8,12.4,20.6,22.6,28.1,33.0,24.9,5.6,29.6,2018
28,29 Apr,3.6,3.6,3.6,3.6,28.4,31.8,26.2,6.3,25.9,2018
29,30 Apr,1.8,1.6,1.6,1.6,28.3,33.3,25.2,5.4,20.4,2018
0,1 Mar,0.0,0.0,0.0,0.0,28.1,32.2,25.8,10.2,35.2,2018
1,2 Mar,11.2,6.6,10.6,11.2,27.3,32.6,23.4,8.9,31.5,2018
2,3 Mar,2.2,1.0,2.0,2.0,27.6,32.9,24.6,7.7,33.3,2018
3,4 Mar,0.0,0.0,0.0,0.0,28.0,32.5,26.0,9.0,37.0,2018
4,5 Mar,7.0,4.4,6.4,7.0,27.3,33.7,23.5,6.0,27.8,2018
5,6 Mar,3.6,1.8,2.6,3.4,27.0,30.6,25.4,4.8,18.5,2018
6,7 Mar,1.2,1.0,1.0,1.2,27.8,33.0,26.0,8.4,29.6,2018
7,8 Mar,0.0,0.0,0.0,0.0,28.3,32.2,25.5,7.8,29.6,2018
8,9 Mar,0.0,0.0,0.0,0.0,28.2,31.7,26.2,11.5,33.3,2018
9,10 Mar,0.8,0.6,0.6,0.6,27.8,32.1,24.7,11.8,40.7,2018
10,11 Mar,4.4,2.4,2.4,4.4,28.0,32.7,25.9,8.4,25.9,2018
11,12 Mar,0.0,0.0,0.0,0.0,28.2,33.0,25.3,10.0,35.2,2018
12,13 Mar,0.0,0.0,0.0,0.0,28.5,33.8,24.8,8.9,25.9,2018
13,14 Mar,0.0,0.0,0.0,0.0,28.6,31.8,26.8,10.0,27.8,2018
14,15 Mar,29.8,11.8,22.4,29.0,26.7,32.3,23.8,6.3,31.5,2018
15,16 Mar,0.4,0.4,0.4,0.4,28.1,31.9,25.2,7.4,25.9,2018
16,17 Mar,9.6,7.2,8.0,8.2,27.6,31.5,24.2,5.9,38.9,2018
