type_dengue,date,year,month,number,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),week
DHF,2018-04-16,2018,4,0.0,2018,4,16,1.6,0.8,0.8,1.0,26.6,30.2,25.5,5.4,28.1,16
Dengue,2018-04-23,2018,4,55.0,2018,4,23,7.4,6.0,6.2,6.2,27.6,32.0,25.7,5.0,35.3,17
DHF,2018-04-23,2018,4,1.0,2018,4,23,7.4,6.0,6.2,6.2,27.6,32.0,25.7,5.0,35.3,17
Dengue,2018-04-30,2018,4,74.0,2018,4,30,4.6,4.6,4.6,4.6,29.1,33.5,24.9,10.8,44.6,18
DHF,2018-04-30,2018,4,3.0,2018,4,30,4.6,4.6,4.6,4.6,29.1,33.5,24.9,10.8,44.6,18
DHF,2018-05-07,2018,5,0.0,2018,5,7,0.0,0.0,0.0,0.0,29.5,32.8,26.3,9.4,31.3,19
Dengue,2018-05-07,2018,5,62.0,2018,5,7,0.0,0.0,0.0,0.0,29.5,32.8,26.3,9.4,31.3,19
DHF,2018-05-14,2018,5,1.0,2018,5,14,0.0,0.0,0.0,0.0,28.9,32.6,26.5,8.3,25.2,20
Dengue,2018-05-14,2018,5,63.0,2018,5,14,0.0,0.0,0.0,0.0,28.9,32.6,26.5,8.3,25.2,20
Dengue,2018-05-21,2018,5,64.0,2018,5,21,1.0,1.0,1.0,1.0,28.8,32.2,26.0,6.5,22.0,21
DHF,2018-05-21,2018,5,1.0,2018,5,21,1.0,1.0,1.0,1.0,28.8,32.2,26.0,6.5,22.0,21
Dengue,2018-05-28,2018,5,52.0,2018,5,28,47.4,31.4,40.6,46.0,27.4,29.3,24.0,6.8,25.6,22
DHF,2018-05-28,2018,5,2.0,2018,5,28,47.4,31.4,40.6,46.0,27.4,29.3,24.0,6.8,25.6,22
Dengue,2018-06-04,2018,6,75.0,2018,6,4,0.4,0.4,0.4,0.4,29.7,32.5,26.5,7.9,23.0,23
DHF,2018-06-04,2018,6,0.0,2018,6,4,0.4,0.4,0.4,0.4,29.7,32.5,26.5,7.9,23.0,23
Dengue,2018-06-11,2018,6,55.0,2018,6,11,0.0,0.0,0.0,0.0,30.2,33.1,28.3,13.7,35.3,24
DHF,2018-06-11,2018,6,0.0,2018,6,11,0.0,0.0,0.0,0.0,30.2,33.1,28.3,13.7,35.3,24
Dengue,2018-06-18,2018,6,59.0,2018,6,18,9.4,9.4,9.4,9.4,28.4,31.3,23.9,8.3,47.2,25
DHF,2018-06-18,2018,6,2.0,2018,6,18,9.4,9.4,9.4,9.4,28.4,31.3,23.9,8.3,47.2,25
Dengue,2018-06-25,2018,6,75.0,2018,6,25,15.2,7.2,12.0,13.2,26.8,29.4,23.2,5.8,29.2,26
DHF,2018-06-25,2018,6,1.0,2018,6,25,15.2,7.2,12.0,13.2,26.8,29.4,23.2,5.8,29.2,26
Dengue,2018-07-02,2018,7,56.0,2018,7,2,0.0,0.0,0.0,0.0,27.5,30.9,25.7,5.4,39.6,27
DHF,2018-07-02,2018,7,2.0,2018,7,2,0.0,0.0,0.0,0.0,27.5,30.9,25.7,5.4,39.6,27
DHF,2018-07-09,2018,7,0.0,2018,7,9,0.0,0.0,0.0,0.0,28.8,31.2,27.1,11.9,33.8,28
Dengue,2018-07-09,2018,7,44.0,2018,7,9,0.0,0.0,0.0,0.0,28.8,31.2,27.1,11.9,33.8,28
Dengue,2018-07-16,2018,7,41.0,2018,7,16,0.0,0.0,0.0,0.0,29.0,31.8,27.1,11.9,31.7,29
DHF,2018-07-16,2018,7,0.0,2018,7,16,0.0,0.0,0.0,0.0,29.0,31.8,27.1,11.9,31.7,29
Dengue,2018-07-23,2018,7,56.0,2018,7,23,0.0,0.0,0.0,0.0,29.7,33.0,28.0,14.8,41.0,30
DHF,2018-07-23,2018,7,0.0,2018,7,23,0.0,0.0,0.0,0.0,29.7,33.0,28.0,14.8,41.0,30
Dengue,2018-07-30,2018,7,50.0,2018,7,30,4.8,3.6,4.6,4.8,27.4,29.5,24.0,8.3,34.2,31
DHF,2018-07-30,2018,7,1.0,2018,7,30,4.8,3.6,4.6,4.8,27.4,29.5,24.0,8.3,34.2,31
Dengue,2018-08-06,2018,8,59.0,2018,8,6,0.0,0.0,0.0,0.0,28.8,31.3,27.1,13.0,33.5,32
DHF,2018-08-06,2018,8,0.0,2018,8,6,0.0,0.0,0.0,0.0,28.8,31.3,27.1,13.0,33.5,32
Dengue,2018-08-13,2018,8,42.0,2018,8,13,0.0,0.0,0.0,0.0,29.6,32.4,27.9,13.3,34.9,33
DHF,2018-08-13,2018,8,1.0,2018,8,13,0.0,0.0,0.0,0.0,29.6,32.4,27.9,13.3,34.9,33
Dengue,2018-08-20,2018,8,66.0,2018,8,20,0.0,0.0,0.0,0.0,29.4,33.0,27.5,15.5,38.2,34
DHF,2018-08-20,2018,8,2.0,2018,8,20,0.0,0.0,0.0,0.0,29.4,33.0,27.5,15.5,38.2,34
DHF,2018-08-27,2018,8,0.0,2018,8,27,0.0,0.0,0.0,0.0,29.1,32.7,26.5,12.6,36.7,35
Dengue,2018-08-27,2018,8,75.0,2018,8,27,0.0,0.0,0.0,0.0,29.1,32.7,26.5,12.6,36.7,35
DHF,2018-09-03,2018,9,1.0,2018,9,3,2.6,2.0,2.0,2.2,27.7,30.1,23.5,7.9,40.0,36
Dengue,2018-09-03,2018,9,75.0,2018,9,3,2.6,2.0,2.0,2.2,27.7,30.1,23.5,7.9,40.0,36
Dengue,2018-09-10,2018,9,49.0,2018,9,10,2.4,2.0,2.2,2.2,27.3,31.2,25.9,6.5,37.1,37
DHF,2018-09-10,2018,9,0.0,2018,9,10,2.4,2.0,2.2,2.2,27.3,31.2,25.9,6.5,37.1,37
Dengue,2018-09-17,2018,9,63.0,2018,9,17,0.0,0.0,0.0,0.0,28.9,31.6,27.0,14.8,34.9,38
DHF,2018-09-17,2018,9,0.0,2018,9,17,0.0,0.0,0.0,0.0,28.9,31.6,27.0,14.8,34.9,38
Dengue,2018-09-24,2018,9,40.0,2018,9,24,0.0,0.0,0.0,0.0,28.9,32.1,26.1,11.5,30.6,39
DHF,2018-09-24,2018,9,0.0,2018,9,24,0.0,0.0,0.0,0.0,28.9,32.1,26.1,11.5,30.6,39
Dengue,2018-10-01,2018,10,51.0,2018,10,1,0.0,0.0,0.0,0.0,29.5,33.1,27.4,14.0,36.4,40
DHF,2018-10-01,2018,10,0.0,2018,10,1,0.0,0.0,0.0,0.0,29.5,33.1,27.4,14.0,36.4,40
Dengue,2018-10-08,2018,10,51.0,2018,10,8,4.8,3.8,3.8,3.8,27.4,31.5,25.3,5.8,29.2,41
DHF,2018-10-08,2018,10,0.0,2018,10,8,4.8,3.8,3.8,3.8,27.4,31.5,25.3,5.8,29.2,41
Dengue,2018-10-15,2018,10,60.0,2018,10,15,0.0,0.0,0.0,0.0,28.0,32.2,24.6,5.8,23.8,42
DHF,2018-10-15,2018,10,2.0,2018,10,15,0.0,0.0,0.0,0.0,28.0,32.2,24.6,5.8,23.8,42
Dengue,2018-10-22,2018,10,78.0,2018,10,22,0.0,0.0,0.0,0.0,28.7,32.2,25.1,9.0,35.6,43
DHF,2018-10-22,2018,10,0.0,2018,10,22,0.0,0.0,0.0,0.0,28.7,32.2,25.1,9.0,35.6,43
DHF,2018-10-29,2018,10,0.0,2018,10,29,0.4,0.4,0.4,0.4,27.9,32.4,25.5,5.8,37.8,44
Dengue,2018-10-29,2018,10,74.0,2018,10,29,0.4,0.4,0.4,0.4,27.9,32.4,25.5,5.8,37.8,44
Dengue,2018-11-05,2018,11,71.0,2018,11,5,0.4,0.4,0.4,0.4,27.8,31.8,25.7,5.0,18.7,45
DHF,2018-11-05,2018,11,0.0,2018,11,5,0.4,0.4,0.4,0.4,27.8,31.8,25.7,5.0,18.7,45
Dengue,2018-11-12,2018,11,78.0,2018,11,12,12.4,12.2,12.4,12.4,27.5,32.5,24.5,5.4,33.8,46
DHF,2018-11-12,2018,11,0.0,2018,11,12,12.4,12.2,12.4,12.4,27.5,32.5,24.5,5.4,33.8,46
Dengue,2018-11-19,2018,11,97.0,2018,11,19,20.6,19.4,19.8,20.6,26.9,31.8,23.6,5.0,32.4,47
DHF,2018-11-19,2018,11,0.0,2018,11,19,20.6,19.4,19.8,20.6,26.9,31.8,23.6,5.0,32.4,47
Dengue,2018-11-26,2018,11,109.0,2018,11,26,14.4,13.4,13.4,13.4,27.5,31.9,23.9,5.4,29.9,48
DHF,2018-11-26,2018,11,0.0,2018,11,26,14.4,13.4,13.4,13.4,27.5,31.9,23.9,5.4,29.9,48
Dengue,2018-12-03,2018,12,113.0,2018,12,3,2.6,1.4,2.0,2.4,26.9,30.7,25.5,5.0,22.0,49
DHF,2018-12-03,2018,12,1.0,2018,12,3,2.6,1.4,2.0,2.4,26.9,30.7,25.5,5.0,22.0,49
Dengue,2018-12-10,2018,12,107.0,2018,12,10,0.2,0.2,0.2,0.2,27.4,31.6,25.9,6.1,37.4,50
DHF,2018-12-10,2018,12,1.0,2018,12,10,0.2,0.2,0.2,0.2,27.4,31.6,25.9,6.1,37.4,50
Dengue,2018-12-17,2018,12,127.0,2018,12,17,0.0,0.0,0.0,0.0,27.3,30.6,25.0,6.8,45.0,51
DHF,2018-12-17,2018,12,1.0,2018,12,17,0.0,0.0,0.0,0.0,27.3,30.6,25.0,6.8,45.0,51
Dengue,2018-12-24,2018,12,160.0,2018,12,24,0.0,0.0,0.0,0.0,28.1,32.2,25.2,7.6,27.0,52
DHF,2018-12-24,2018,12,0.0,2018,12,24,0.0,0.0,0.0,0.0,28.1,32.2,25.2,7.6,27.0,52
