type_dengue,date,year,month,number
DHF,2015-06-22,2015,6,0.0
Dengue,2015-06-29,2015,6,242.0
DHF,2015-06-29,2015,6,0.0
Dengue,2015-07-06,2015,7,272.0
DHF,2015-07-06,2015,7,0.0
Dengue,2015-07-13,2015,7,263.0
DHF,2015-07-13,2015,7,0.0
Dengue,2015-07-20,2015,7,293.0
DHF,2015-07-20,2015,7,0.0
DHF,2015-07-27,2015,7,0.0
Dengue,2015-07-27,2015,7,250.0
Dengue,2015-08-03,2015,8,226.0
DHF,2015-08-03,2015,8,0.0
Dengue,2015-08-10,2015,8,221.0
DHF,2015-08-10,2015,8,0.0
Dengue,2015-08-17,2015,8,250.0
DHF,2015-08-17,2015,8,0.0
Dengue,2015-08-24,2015,8,225.0
DHF,2015-08-24,2015,8,0.0
Dengue,2015-08-31,2015,8,246.0
DHF,2015-08-31,2015,8,0.0
Dengue,2015-09-07,2015,9,217.0
DHF,2015-09-07,2015,9,0.0
Dengue,2015-09-14,2015,9,303.0
DHF,2015-09-14,2015,9,0.0
DHF,2015-09-21,2015,9,0.0
Dengue,2015-09-21,2015,9,214.0
Dengue,2015-09-28,2015,9,257.0
DHF,2015-09-28,2015,9,0.0
Dengue,2015-10-05,2015,10,236.0
DHF,2015-10-05,2015,10,0.0
Dengue,2015-10-12,2015,10,235.0
DHF,2015-10-12,2015,10,0.0
Dengue,2015-10-19,2015,10,224.0
DHF,2015-10-19,2015,10,0.0
Dengue,2015-10-26,2015,10,246.0
DHF,2015-10-26,2015,10,0.0
Dengue,2015-11-02,2015,11,266.0
DHF,2015-11-02,2015,11,0.0
DHF,2015-11-09,2015,11,0.0
Dengue,2015-11-09,2015,11,198.0
DHF,2015-11-16,2015,11,0.0
Dengue,2015-11-16,2015,11,254.0
Dengue,2015-11-23,2015,11,282.0
DHF,2015-11-23,2015,11,1.0
Dengue,2015-11-30,2015,11,259.0
DHF,2015-11-30,2015,11,0.0
Dengue,2015-12-07,2015,12,356.0
DHF,2015-12-07,2015,12,1.0
Dengue,2015-12-14,2015,12,333.0
DHF,2015-12-14,2015,12,0.0
Dengue,2015-12-21,2015,12,367.0
DHF,2015-12-21,2015,12,0.0
Dengue,2015-12-28,2015,12,457.0
DHF,2015-12-28,2015,12,0.0
Dengue,2016-01-04,2016,1,545.0
DHF,2016-01-04,2016,1,0.0
DHF,2016-01-11,2016,1,0.0
Dengue,2016-01-11,2016,1,620.0
Dengue,2016-01-18,2016,1,636.0
DHF,2016-01-18,2016,1,1.0
Dengue,2016-01-25,2016,1,623.0
DHF,2016-01-25,2016,1,1.0
Dengue,2016-02-01,2016,2,523.0
DHF,2016-02-01,2016,2,2.0
Dengue,2016-02-08,2016,2,419.0
DHF,2016-02-08,2016,2,0.0
Dengue,2016-02-15,2016,2,589.0
DHF,2016-02-15,2016,2,1.0
Dengue,2016-02-22,2016,2,507.0
DHF,2016-02-22,2016,2,4.0
Dengue,2016-02-29,2016,2,411.0
DHF,2016-02-29,2016,2,0.0
DHF,2016-03-07,2016,3,1.0
Dengue,2016-03-07,2016,3,394.0
Dengue,2016-03-14,2016,3,372.0
DHF,2016-03-14,2016,3,1.0
Dengue,2016-03-21,2016,3,301.0
DHF,2016-03-21,2016,3,2.0
Dengue,2016-03-28,2016,3,376.0
DHF,2016-03-28,2016,3,1.0
Dengue,2016-04-04,2016,4,289.0
DHF,2016-04-04,2016,4,2.0
